iter	Logloss
0	0.6716692553
1	0.6527192615
2	0.6360645963
3	0.623061958
4	0.6098856473
5	0.5996675019
6	0.5891923578
7	0.5799601821
8	0.5728769143
9	0.566585901
10	0.5599984517
11	0.5549981518
12	0.5505738927
13	0.5458651871
14	0.5416553803
15	0.5385646205
16	0.5351913423
17	0.5322544028
18	0.5300714812
19	0.5281286324
20	0.5259700115
21	0.5240089175
22	0.5223110831
23	0.5207522506
24	0.5194037082
25	0.5184377606
26	0.5175606286
27	0.5167819265
28	0.5160644586
29	0.5152008461
30	0.5144296714
31	0.5139334873
32	0.5134850032
33	0.513065352
34	0.5125012889
35	0.5121782642
36	0.5117245157
37	0.5113183974
38	0.5110854727
39	0.5107208606
40	0.5105351247
41	0.5102431143
42	0.5100913391
43	0.5098291129
44	0.5097030173
45	0.5094985356
46	0.5093171748
