iter	Passed	Remaining
0	221	220798
1	408	203732
2	531	176600
3	763	190227
4	973	193642
5	1253	207706
6	1468	208345
7	1731	214747
8	1992	219391
9	2096	207602
10	2297	206591
11	2536	208804
12	2727	207080
13	2984	210191
14	3250	213480
15	3422	210459
16	3660	211660
17	3802	207426
18	4079	210620
19	4275	209487
20	4536	211472
21	4774	212246
22	4957	210583
23	5197	211348
24	5431	211846
25	5549	207911
26	5777	208207
27	5887	204377
28	6118	204851
29	6233	201536
30	6403	200171
31	6483	196121
32	6564	192369
33	6785	192782
34	7009	193261
35	7094	189979
36	7299	189974
37	7520	190377
38	7629	188005
39	7867	188827
40	7942	185777
41	8166	186278
42	8279	184260
43	8520	185137
44	8763	185990
45	9010	186879
46	9197	186491
